,Server-RSSI-1,Server-RSSI-2,Server-Distance-1,Server-Distance-2
835,-46,-73,2,2
836,-46,-68,2,2
837,-46,-68,2,2
838,-46,-73,2,2
839,-46,-68,2,2
840,-46,-69,2,2
841,-46,-74,2,2
842,-56,-76,2,2
843,-46,-76,2,2
844,-47,-75,2,2
845,-54,-78,2,2
846,-54,-79,2,2
847,-54,-79,2,2
848,-54,-77,2,2
849,-54,-77,2,2
850,-54,-76,2,2
851,-54,-68,2,2
852,-54,-68,2,2
853,-54,-68,2,2
854,-46,-68,2,2
855,-45,-85,2,2
856,-45,-66,2,2
857,-45,-66,2,2
858,-45,-78,2,2
859,-46,-67,2,2
860,-45,-68,2,2
861,-45,-78,2,2
862,-54,-77,2,2
863,-45,-68,2,2
864,-45,-68,2,2
865,-45,-78,2,2
866,-46,-67,2,2
867,-45,-67,2,2
868,-45,-82,2,2
869,-54,-67,2,2
870,-54,-67,2,2
871,-54,-86,2,2
872,-54,-67,2,2
